task_id,output,acceptance,task_kind,build_tool,runtime_approach,eval_ids,event_ids,lever_ids
T-A-024,Versioned SVG asset or reusable definition with provenance,"Safe child-friendly challenge art; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-025,Versioned 3D geometry asset or reusable definition with provenance,"Reuse human mesh with controlled movement; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-026,Versioned SVG asset or reusable definition with provenance,"Replace caffeine context; level parity; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-027,Versioned 3D geometry asset or reusable definition with provenance,"Code currently animates steam; verify fill correspondence; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-028,Versioned SVG asset or reusable definition with provenance,"Fictional illustration; text alternative; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-029,Versioned CSS and text asset or reusable definition with provenance,"Export signed/unsigned approved state; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-030,Versioned SVG asset or reusable definition with provenance,"Geometry not tied to real age; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-031,Versioned 3D geometry asset or reusable definition with provenance,"Numbered controls plus raycast; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-032,Versioned Text and CSS asset or reusable definition with provenance,"Adult text not reused in kids template; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-1,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-10,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-11,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-12,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-13,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-14,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-15,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-16,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-17,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-18,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-2,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-3,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-4,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-5,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-6,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-7,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-8,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-MOTION-9,Versioned Animation asset or reusable definition with provenance,"Respect reduced motion; deterministic export; cleanup; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-1,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-10,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-11,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-12,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-13,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-14,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-2,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-3,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-4,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-5,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-6,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-7,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-8,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-SFX-9,Versioned Procedural audio asset or reusable definition with provenance,"No external recording; control gain, cancel and mute; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-BOOT-01,Replace adult hardware jokes with approved recipient facts,Demonstrate terminal copy from schema-driven data; satisfy E-007; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-007,EV-011,L-002
T-BOOT-02,Cancellable typing with immediate skip,Demonstrate typing effect from schema-driven data; satisfy E-007; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-007,EV-011,L-002
T-BOOT-03,One activation; focus moves to active scene,Demonstrate continue gate from schema-driven data; satisfy E-007; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-007,EV-011,L-002
T-BOOT-04,Motion-safe transition with static alternative,Demonstrate glitch transition from schema-driven data; satisfy E-007; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-007,EV-011,L-002
T-BOOT-05,Seeded/capped burst with no reduced-motion particles,Demonstrate intro confetti from schema-driven data; satisfy E-007; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-007,EV-011,L-002
T-BOOT-COPY,"Field list, content limits, approved example and no-data fallback",Every Opening boot field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-011,L-002
T-BOOT-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Opening boot; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-002
T-BOOT-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-011,L-026
T-BOOT-TEST,Recorded tests for this scene,"E-007 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-007,EV-011,L-002
T-CERT-01,Printable playful certificate with safe headings,Demonstrate paper layout from schema-driven data; satisfy E-017; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-017,EV-015,L-004
T-CERT-02,Deterministic sign/unsign preview states for editing,Demonstrate signature button from schema-driven data; satisfy E-017; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-017,EV-015,L-004
T-CERT-03,Personalized celebration seal with motion alternative,Demonstrate stamp from schema-driven data; satisfy E-017; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-017,EV-015,L-004
T-CERT-04,Affectionate bonus message with accessible expanded state,Demonstrate hidden memo from schema-driven data; satisfy E-017; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-017,EV-015,L-004
T-CERT-COPY,"Field list, content limits, approved example and no-data fallback",Every Birthday certificate field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-015,L-004
T-CERT-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Birthday certificate; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-004
T-CERT-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-015,L-026
T-CERT-TEST,Recorded tests for this scene,"E-017 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-017,EV-015,L-004
T-CHART-01,Six approved story beats from recipient facts,Demonstrate six-part story from schema-driven data; satisfy E-016; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-016,EV-012,L-035
T-CHART-02,Clearly fictional achievement visualization,Demonstrate chart illustration from schema-driven data; satisfy E-016; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-016,EV-012,L-035
T-CHART-03,Static labelled fallback; export at terminal frame,Demonstrate chart reveal from schema-driven data; satisfy E-016; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-016,EV-012,L-035
T-CHART-04,Warm age-appropriate connective copy,Demonstrate supporting prose from schema-driven data; satisfy E-016; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-016,EV-012,L-035
T-CHART-COPY,"Field list, content limits, approved example and no-data fallback",Every Story briefing field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-012,L-035
T-CHART-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Story briefing; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-035
T-CHART-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-012,L-026
T-CHART-TEST,Recorded tests for this scene,"E-016 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-016,EV-012,L-035
T-END-01,"Approved affectionate note, sender attribution",Demonstrate message from schema-driven data; satisfy E-019; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-019,EV-023,L-013
T-END-02,Theme-consistent readable closing layout,Demonstrate paper style from schema-driven data; satisfy E-019; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-019,EV-023,L-013
T-END-03,Explicit replay/reset with clear local-state semantics,Demonstrate replay from schema-driven data; satisfy E-019; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-019,EV-023,L-013
T-END-04,Optional adult-facing create/share invitation after closing,Demonstrate product invitation from schema-driven data; satisfy E-019; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-019,EV-023,L-013
T-END-COPY,"Field list, content limits, approved example and no-data fallback",Every Closing note field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-023,L-013
T-END-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Closing note; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-013
T-END-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-023,L-026
T-END-TEST,Recorded tests for this scene,"E-019 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-019,EV-023,L-013
T-FIN-01,Clear celebrate action with repeat-safe guard,Demonstrate finale trigger from schema-driven data; satisfy E-018; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-018,EV-023,L-003
T-FIN-02,Short playful build-up; no real deployment implied,Demonstrate pipeline from schema-driven data; satisfy E-018; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-018,EV-023,L-003
T-FIN-03,Themeable cake independent of recipient age,Demonstrate cake artwork from schema-driven data; satisfy E-018; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-018,EV-023,L-003
T-FIN-04,Configurable candle count not equal to required age,Demonstrate nine candles from schema-driven data; satisfy E-018; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-018,EV-023,L-003
T-FIN-05,Idempotent actions; no skipped or duplicate completion,Demonstrate candle state from schema-driven data; satisfy E-018; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-018,EV-023,L-003
T-FIN-06,One celebration respecting mute and autoplay policy,Demonstrate final reward from schema-driven data; satisfy E-018; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-018,EV-023,L-003
T-FIN-07,Focus and scene transition controlled by shared player,Demonstrate camera/scroll from schema-driven data; satisfy E-018; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-018,EV-023,L-003
T-FIN-COPY,"Field list, content limits, approved example and no-data fallback",Every Finale and candles field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-023,L-003
T-FIN-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Finale and candles; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-003
T-FIN-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-023,L-026
T-FIN-TEST,Recorded tests for this scene,"E-018 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-018,EV-023,L-003
T-FUEL-01,Child-friendly vessel with fill visual parity,Demonstrate cup art from schema-driven data; satisfy E-015; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-015,EV-014,L-006
T-FUEL-02,Bounded state independent of animation,Demonstrate fill state from schema-driven data; satisfy E-015; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-015,EV-014,L-006
T-FUEL-03,Nine safe fun responses from approved content,Demonstrate reaction copy from schema-driven data; satisfy E-015; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-015,EV-014,L-006
T-FUEL-04,Localized optional effect; one reward on threshold crossing,Demonstrate shake and reward from schema-driven data; satisfy E-015; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-015,EV-014,L-006
T-FUEL-05,Reset restores exact declared initial state and cancels sound,Demonstrate reset from schema-driven data; satisfy E-015; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-015,EV-014,L-006
T-FUEL-COPY,"Field list, content limits, approved example and no-data fallback",Every Fill meter field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-014,L-006
T-FUEL-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Fill meter; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-006
T-FUEL-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-014,L-026
T-FUEL-TEST,Recorded tests for this scene,"E-015 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-015,EV-014,L-006
T-GAME-01,Initialize/input/state/complete/reset/export/cleanup contract,Each game can run inside shared player,Creation,M-SOL,Deterministic code; no LLM per frame,E-005,EV-015,L-005
T-GAME-02,Safe theme items and finite goal,Every accepted tap updates one deterministic item,Creation,M-SOL,Deterministic code; no LLM per frame,E-005,EV-015,L-005
T-GAME-05,"Versioned item counts, pacing and hints",Card finale is reachable without winning,Creation,M-SOL,Deterministic code; no LLM per frame,E-005,EV-015,L-005
T-GAME-06,Nonpunitive fallback path,No timer trap or pressure to keep playing,Creation,M-SOL,Deterministic code; no LLM per frame,E-005,EV-015,L-005
T-GAME-07,Seed in nonpersonal scene state,Same input sequence reproduces accepted outcome,Pattern,M-SOL,Deterministic code; no LLM per frame,E-005,EV-015,L-005
T-GAME-08,Local state machine and validation,Client score never grants account entitlements,Creation,M-SOL,Deterministic code; no LLM per frame,E-005,EV-015,L-005
T-GAME-09,Cross-input parity evidence,No drag-only required action,Pattern,M-SOL,Deterministic code; no LLM per frame,E-005,EV-015,L-005
T-GAME-10,Measured frame/heap baseline,No accumulating listeners or retained canvases,Creation,M-SOL,Deterministic code; no LLM per frame,E-005,EV-015,L-005
T-GAUGE-01,Safe imaginative scale; do not infer health or ability,Demonstrate gauge art from schema-driven data; satisfy E-011; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-011,EV-015,L-035
T-GAUGE-02,State-driven reveal with replay/skip,Demonstrate measurement sequence from schema-driven data; satisfy E-011; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-011,EV-015,L-035
T-GAUGE-03,"Approved fictional superpowers, not gendered insults",Demonstrate result rows from schema-driven data; satisfy E-011; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-011,EV-015,L-035
T-GAUGE-04,Positive surprise with text/audio parity,Demonstrate verdict from schema-driven data; satisfy E-011; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-011,EV-015,L-035
T-GAUGE-COPY,"Field list, content limits, approved example and no-data fallback",Every Playful diagnostic field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-015,L-035
T-GAUGE-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Playful diagnostic; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-035
T-GAUGE-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-015,L-026
T-GAUGE-TEST,Recorded tests for this scene,"E-011 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-011,EV-015,L-035
T-HERO-01,Typed recipient name/date with long-name layout,Demonstrate greeting from schema-driven data; satisfy E-008; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-008,EV-012,L-004
T-HERO-02,Theme token treatment with single accessible sentence,Demonstrate ransom typography from schema-driven data; satisfy E-008; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-008,EV-012,L-004
T-HERO-03,Child-appropriate badge; no adult copy reuse,Demonstrate advisory badge from schema-driven data; satisfy E-008; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-008,EV-012,L-004
T-HERO-04,Calendar-day logic using agreed timezone and optional date,Demonstrate birthday timing from schema-driven data; satisfy E-008; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-008,EV-012,L-004
T-HERO-05,Replace with next/back scene controls in shared player,Demonstrate scroll hint from schema-driven data; satisfy E-008; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-008,EV-012,L-004
T-HERO-COPY,"Field list, content limits, approved example and no-data fallback",Every Birthday opening field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-012,L-004
T-HERO-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Birthday opening; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-004
T-HERO-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-012,L-026
T-HERO-TEST,Recorded tests for this scene,"E-008 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-008,EV-012,L-004
T-IMAGE-01,"Asset slots, aspect ratio and allowed sources","Every image has owner, license and scope",Creation,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-02,Reference sheet and composition rules,Same character remains recognizable across scenes,Creation,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-03,Interest/mascot-based art alternatives,Useful card does not require a child photograph,Creation,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-04,"Adult permission, use scope and deletion rules",Permission to make card is not public marketing consent,Creation,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-05,"Size/type checks, malware handling and EXIF removal",Executable SVG or forged MIME cannot run,Creation,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-06,Editable safe crop with original retained per policy,Adult approves crop before generation/export,Pattern,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-07,Blind visual rubric with exact model/version recorded,No fabricated likeness score or automatic publication,Creation,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-08,Appropriate sizes/formats with explicit fallbacks,No unnecessary full-resolution image per scene,Creation,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-09,"Anatomy, unwanted text, disturbing details and name accuracy",All pilot outputs reviewed by Tim,Pattern,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-IMAGE-10,Parent asset and rejection reason,Rollback restores prior approved derivative,Creation,M-IMAGE,Offline generated assets; no model in playback,E-033,EV-022,L-019
T-INC-01,Reusable character and safe obstacle set,Demonstrate rider scene from schema-driven data; satisfy E-009; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-009,EV-014,L-005
T-INC-02,"Deterministic replay state machine, no injury theme",Demonstrate crash sequence from schema-driven data; satisfy E-009; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-009,EV-014,L-005
T-INC-03,Approved comic impact; no frightening sharp peak,Demonstrate sound effects from schema-driven data; satisfy E-009; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-009,EV-014,L-005
T-INC-04,Meaningful playful count; no real-world claim,Demonstrate replay statistics from schema-driven data; satisfy E-009; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-009,EV-014,L-005
T-INC-05,Structured text reveal with skip and readable summary,Demonstrate terminal result from schema-driven data; satisfy E-009; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-009,EV-014,L-005
T-INC-06,Cancel timers/audio when scene unmounts,Demonstrate replay cleanup from schema-driven data; satisfy E-009; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-009,EV-014,L-005
T-INC-COPY,"Field list, content limits, approved example and no-data fallback",Every Incident replay field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-014,L-005
T-INC-EVENT,Event adapter using scene IDs and versions,EV-012/014/015 dedupe correctly for Incident replay; no personal text,Pattern,M-LUNA,Deterministic code,E-035,EV-012; EV-014; EV-015,L-005
T-INC-SKINS,Skin compatibility evidence and defects,Module works with each available manifest; missing skins remain explicitly blocked,Pattern,M-SOL,Deterministic code,E-048,EV-014,L-026
T-INC-TEST,Recorded tests for this scene,"E-009 passes on keyboard, touch and reduced-motion paths",Pattern,M-SOL,Deterministic code,E-009,EV-014,L-005
T-MUSIC-01,"Accessible player with titles, duration and mute",Demonstrate cassette ui from schema-driven data; satisfy E-012; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-012,EV-018,L-008
T-MUSIC-02,Optional procedural instrumental; label vocals absent,Demonstrate side a beat from schema-driven data; satisfy E-012; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-012,EV-018,L-008
T-MUSIC-03,Approved lyrics plus reliable timed display,Demonstrate side a lyrics from schema-driven data; satisfy E-012; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-012,EV-018,L-008
T-MUSIC-04,Reviewed birthday arrangement or original track,Demonstrate side b melody from schema-driven data; satisfy E-012; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-012,EV-018,L-008
T-MUSIC-05,Separate consent/rights record before reuse; original new track,Demonstrate side c recording from schema-driven data; satisfy E-012; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-012,EV-018,L-008
T-MUSIC-06,Motion-safe playhead with accessible status,Demonstrate sequencer pads from schema-driven data; satisfy E-012; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-012,EV-018,L-008
T-MUSIC-07,Cancel source nodes and pause HTML audio together,Demonstrate stop and switching from schema-driven data; satisfy E-012; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-012,EV-018,L-008
T-MUSIC-08,Explicit loading/error/fallback state rather than silent omission,Demonstrate track failure from schema-driven data; satisfy E-012; preserve named behavior without copying adult personal content,Creation,M-SOL,Deterministic code,E-012,EV-018,L-008
T-MUSIC-COPY,"Field list, content limits, approved example and no-data fallback",Every Mixtape field has allowed source and missing-value behavior,Judgment,M-HUMAN,Deterministic code,E-032,EV-018,L-008
