task_id,phase,area,component_id,task,proposed_owner,status,size,depends_on,priority
T-A-MOTION-14,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe 3D crash timeline asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-15,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe 3D pet head/tail reaction asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-16,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe 3D reps rotation asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-17,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe 3D steam drift asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-18,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe 3D flame scale asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-2,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe glitchOut asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-3,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe blink asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-4,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe bob asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-5,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe wag asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-6,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe steam asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-7,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe flicker asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-8,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe smoke asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-9,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe reveal opacity/translate asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-1,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Square beep asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-10,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Sad trombone asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-11,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Stamp sound asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-12,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Sip beep pair asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-13,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Fanfare asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-14,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Candle puff noise asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-2,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Triangle/square melody tone asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-3,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Kick oscillator asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-4,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Snare noise and tone asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-5,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Closed/open hi-hat noise asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-6,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Sub bass asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-7,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Distorted power chord asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-8,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Crash noise asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-SFX-9,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Synthesized bark asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-BOOT-01,P2 Card experience,Opening boot,C-BOOT-01,Implement terminal copy in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-BOOT-02,P2 Card experience,Opening boot,C-BOOT-02,Implement typing effect in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-BOOT-03,P2 Card experience,Opening boot,C-BOOT-03,Implement continue gate in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-BOOT-04,P2 Card experience,Opening boot,C-BOOT-04,Implement glitch transition in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-BOOT-05,P2 Card experience,Opening boot,C-BOOT-05,Implement intro confetti in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-BOOT-COPY,P2 Card experience,Opening boot,C-BOOT,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-BOOT-EVENT,P2 Card experience,Opening boot,C-BOOT,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-BOOT-TEST,P1
T-BOOT-SKINS,P2 Card experience,Opening boot,C-BOOT,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-BOOT-TEST,P1
T-BOOT-TEST,P2 Card experience,Opening boot,C-BOOT,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-BOOT-01; T-BOOT-02; T-BOOT-03; T-BOOT-04; T-BOOT-05; T-BOOT-COPY,P1
T-CERT-01,P2 Card experience,Birthday certificate,C-CERT-01,Implement paper layout in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-CERT-02,P2 Card experience,Birthday certificate,C-CERT-02,Implement signature button in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-CERT-03,P2 Card experience,Birthday certificate,C-CERT-03,Implement stamp in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-CERT-04,P2 Card experience,Birthday certificate,C-CERT-04,Implement hidden memo in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-CERT-COPY,P2 Card experience,Birthday certificate,C-CERT,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-CERT-EVENT,P2 Card experience,Birthday certificate,C-CERT,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-CERT-TEST,P1
T-CERT-SKINS,P2 Card experience,Birthday certificate,C-CERT,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-CERT-TEST,P1
T-CERT-TEST,P2 Card experience,Birthday certificate,C-CERT,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-CERT-01; T-CERT-02; T-CERT-03; T-CERT-04; T-CERT-COPY,P1
T-CHART-01,P2 Card experience,Story briefing,C-CHART-01,Implement six-part story in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-CHART-02,P2 Card experience,Story briefing,C-CHART-02,Implement chart illustration in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-CHART-03,P2 Card experience,Story briefing,C-CHART-03,Implement chart reveal in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-CHART-04,P2 Card experience,Story briefing,C-CHART-04,Implement supporting prose in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-CHART-COPY,P2 Card experience,Story briefing,C-CHART,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-CHART-EVENT,P2 Card experience,Story briefing,C-CHART,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-CHART-TEST,P1
T-CHART-SKINS,P2 Card experience,Story briefing,C-CHART,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-CHART-TEST,P1
T-CHART-TEST,P2 Card experience,Story briefing,C-CHART,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-CHART-01; T-CHART-02; T-CHART-03; T-CHART-04; T-CHART-COPY,P1
T-END-01,P2 Card experience,Closing note,C-END-01,Implement message in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-END-02,P2 Card experience,Closing note,C-END-02,Implement paper style in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-END-03,P2 Card experience,Closing note,C-END-03,Implement replay in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-END-04,P2 Card experience,Closing note,C-END-04,Implement product invitation in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-END-COPY,P2 Card experience,Closing note,C-END,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-END-EVENT,P2 Card experience,Closing note,C-END,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-END-TEST,P1
T-END-SKINS,P2 Card experience,Closing note,C-END,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-END-TEST,P1
T-END-TEST,P2 Card experience,Closing note,C-END,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-END-01; T-END-02; T-END-03; T-END-04; T-END-COPY,P1
T-FIN-01,P2 Card experience,Finale and candles,C-FIN-01,Implement finale trigger in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FIN-02,P2 Card experience,Finale and candles,C-FIN-02,Implement pipeline in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FIN-03,P2 Card experience,Finale and candles,C-FIN-03,Implement cake artwork in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FIN-04,P2 Card experience,Finale and candles,C-FIN-04,Implement nine candles in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FIN-05,P2 Card experience,Finale and candles,C-FIN-05,Implement candle state in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-FIN-06,P2 Card experience,Finale and candles,C-FIN-06,Implement final reward in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FIN-07,P2 Card experience,Finale and candles,C-FIN-07,Implement camera/scroll in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FIN-COPY,P2 Card experience,Finale and candles,C-FIN,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-FIN-EVENT,P2 Card experience,Finale and candles,C-FIN,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-FIN-TEST,P1
T-FIN-SKINS,P2 Card experience,Finale and candles,C-FIN,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-FIN-TEST,P1
T-FIN-TEST,P2 Card experience,Finale and candles,C-FIN,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-FIN-01; T-FIN-02; T-FIN-03; T-FIN-04; T-FIN-05; T-FIN-06; T-FIN-07; T-FIN-COPY,P1
T-FUEL-01,P2 Card experience,Fill meter,C-FUEL-01,Implement cup art in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FUEL-02,P2 Card experience,Fill meter,C-FUEL-02,Implement fill state in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-FUEL-03,P2 Card experience,Fill meter,C-FUEL-03,Implement reaction copy in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FUEL-04,P2 Card experience,Fill meter,C-FUEL-04,Implement shake and reward in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FUEL-05,P2 Card experience,Fill meter,C-FUEL-05,Implement reset in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-FUEL-COPY,P2 Card experience,Fill meter,C-FUEL,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-FUEL-EVENT,P2 Card experience,Fill meter,C-FUEL,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-FUEL-TEST,P1
T-FUEL-SKINS,P2 Card experience,Fill meter,C-FUEL,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-FUEL-TEST,P1
T-FUEL-TEST,P2 Card experience,Fill meter,C-FUEL,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-FUEL-01; T-FUEL-02; T-FUEL-03; T-FUEL-04; T-FUEL-05; T-FUEL-COPY,P1
T-GAME-01,P2 Card experience,Reusable mini-game engine,C-GAME,Define a common mini-game interface,Brian Lapp,Backlog,S: 1–2h proposed,T-004,P1
T-GAME-02,P2 Card experience,Reusable mini-game engine,C-GAME,Make tap-and-collect challenge configurable,Brian Lapp,Backlog,S: 1–2h proposed,T-GAME-01,P1
T-GAME-05,P2 Card experience,Reusable mini-game engine,C-GAME,Define easy/standard difficulty profiles,Brian Lapp,Backlog,S: 1–2h proposed,T-GAME-04,P1
T-GAME-06,P2 Card experience,Reusable mini-game engine,C-GAME,Implement skip/help/restart controls,Brian Lapp,Backlog,M: 2–4h proposed,T-GAME-05,P1
T-GAME-07,P2 Card experience,Reusable mini-game engine,C-GAME,Use seeded randomness for repeatable tests and export,Brian Lapp,Backlog,S: 1–2h proposed,T-GAME-06,P1
T-GAME-08,P2 Card experience,Reusable mini-game engine,C-GAME,Separate display score from trusted state,Brian Lapp,Backlog,S: 1–2h proposed,T-GAME-07,P1
T-GAME-09,P2 Card experience,Reusable mini-game engine,C-GAME,"Test pointer, keyboard and assistive paths",Brian Lapp,Backlog,S: 1–2h proposed,T-GAME-08,P1
T-GAME-10,P2 Card experience,Reusable mini-game engine,C-GAME,Budget animation and memory per game,Brian Lapp,Backlog,S: 1–2h proposed,T-GAME-09,P1
T-GAUGE-01,P2 Card experience,Playful diagnostic,C-GAUGE-01,Implement gauge art in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-GAUGE-02,P2 Card experience,Playful diagnostic,C-GAUGE-02,Implement measurement sequence in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-GAUGE-03,P2 Card experience,Playful diagnostic,C-GAUGE-03,Implement result rows in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-GAUGE-04,P2 Card experience,Playful diagnostic,C-GAUGE-04,Implement verdict in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-GAUGE-COPY,P2 Card experience,Playful diagnostic,C-GAUGE,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-GAUGE-EVENT,P2 Card experience,Playful diagnostic,C-GAUGE,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-GAUGE-TEST,P1
T-GAUGE-SKINS,P2 Card experience,Playful diagnostic,C-GAUGE,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-GAUGE-TEST,P1
T-GAUGE-TEST,P2 Card experience,Playful diagnostic,C-GAUGE,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-GAUGE-01; T-GAUGE-02; T-GAUGE-03; T-GAUGE-04; T-GAUGE-COPY,P1
T-HERO-01,P2 Card experience,Birthday opening,C-HERO-01,Implement greeting in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-HERO-02,P2 Card experience,Birthday opening,C-HERO-02,Implement ransom typography in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-HERO-03,P2 Card experience,Birthday opening,C-HERO-03,Implement advisory badge in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-HERO-04,P2 Card experience,Birthday opening,C-HERO-04,Implement birthday timing in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-HERO-05,P2 Card experience,Birthday opening,C-HERO-05,Implement scroll hint in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-HERO-COPY,P2 Card experience,Birthday opening,C-HERO,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-HERO-EVENT,P2 Card experience,Birthday opening,C-HERO,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-HERO-TEST,P1
T-HERO-SKINS,P2 Card experience,Birthday opening,C-HERO,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-HERO-TEST,P1
T-HERO-TEST,P2 Card experience,Birthday opening,C-HERO,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-HERO-01; T-HERO-02; T-HERO-03; T-HERO-04; T-HERO-05; T-HERO-COPY,P1
T-IMAGE-01,P2 Card experience,Images and illustration,C-IMAGE,Define reusable versus personalized art inventory,Tim Miller,Backlog,S: 1–2h proposed,T-004,P1
T-IMAGE-02,P2 Card experience,Images and illustration,C-IMAGE,Create a consistent character style guide,Tim Miller,Backlog,S: 1–2h proposed,T-IMAGE-01,P1
T-IMAGE-03,P2 Card experience,Images and illustration,C-IMAGE,Prototype no-photo personalization first,Tim Miller,Backlog,S: 1–2h proposed,T-IMAGE-02,P1
T-IMAGE-04,P2 Card experience,Images and illustration,C-IMAGE,Specify consented photo upload boundaries,Tim Miller,Backlog,S: 1–2h proposed,T-IMAGE-03,P1
T-IMAGE-05,P2 Card experience,Images and illustration,C-IMAGE,Implement file validation and metadata stripping,Tim Miller,Backlog,M: 2–4h proposed,T-IMAGE-04,P1
T-IMAGE-06,P2 Card experience,Images and illustration,C-IMAGE,Build image crop and preview controls,Tim Miller,Backlog,M: 2–4h proposed,T-IMAGE-05,P1
T-IMAGE-07,P2 Card experience,Images and illustration,C-IMAGE,Benchmark candidate image model and edit mode,Tim Miller,Backlog,S: 1–2h proposed,T-IMAGE-06,P1
T-IMAGE-08,P2 Card experience,Images and illustration,C-IMAGE,Create optimized responsive derivatives,Tim Miller,Backlog,S: 1–2h proposed,T-IMAGE-07,P1
T-IMAGE-09,P2 Card experience,Images and illustration,C-IMAGE,Review generated image defects,Tim Miller,Backlog,M: 2–4h proposed,T-IMAGE-08,P1
T-IMAGE-10,P2 Card experience,Images and illustration,C-IMAGE,Track regeneration and approved version lineage,Tim Miller,Backlog,S: 1–2h proposed,T-IMAGE-09,P1
T-INC-01,P2 Card experience,Incident replay,C-INC-01,Implement rider scene in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-INC-02,P2 Card experience,Incident replay,C-INC-02,Implement crash sequence in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-INC-03,P2 Card experience,Incident replay,C-INC-03,Implement sound effects in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-INC-04,P2 Card experience,Incident replay,C-INC-04,Implement replay statistics in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-INC-05,P2 Card experience,Incident replay,C-INC-05,Implement terminal result in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-INC-06,P2 Card experience,Incident replay,C-INC-06,Implement replay cleanup in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-INC-COPY,P2 Card experience,Incident replay,C-INC,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-INC-EVENT,P2 Card experience,Incident replay,C-INC,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-INC-TEST,P1
T-INC-SKINS,P2 Card experience,Incident replay,C-INC,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-INC-TEST,P1
T-INC-TEST,P2 Card experience,Incident replay,C-INC,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-INC-01; T-INC-02; T-INC-03; T-INC-04; T-INC-05; T-INC-06; T-INC-COPY,P1
T-MUSIC-01,P2 Card experience,Mixtape,C-MUSIC-01,Implement cassette ui in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-MUSIC-02,P2 Card experience,Mixtape,C-MUSIC-02,Implement side a beat in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-MUSIC-03,P2 Card experience,Mixtape,C-MUSIC-03,Implement side a lyrics in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-MUSIC-04,P2 Card experience,Mixtape,C-MUSIC-04,Implement side b melody in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-MUSIC-05,P2 Card experience,Mixtape,C-MUSIC-05,Implement side c recording in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-MUSIC-06,P2 Card experience,Mixtape,C-MUSIC-06,Implement sequencer pads in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-MUSIC-07,P2 Card experience,Mixtape,C-MUSIC-07,Implement stop and switching in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-MUSIC-08,P2 Card experience,Mixtape,C-MUSIC-08,Implement track failure in the shared scene module,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-03,P1
T-MUSIC-COPY,P2 Card experience,Mixtape,C-MUSIC,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-MUSIC-EVENT,P2 Card experience,Mixtape,C-MUSIC,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-MUSIC-TEST,P1
T-MUSIC-SKINS,P2 Card experience,Mixtape,C-MUSIC,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-MUSIC-TEST,P1
T-MUSIC-TEST,P2 Card experience,Mixtape,C-MUSIC,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-MUSIC-01; T-MUSIC-02; T-MUSIC-03; T-MUSIC-04; T-MUSIC-05; T-MUSIC-06; T-MUSIC-07; T-MUSIC-08; T-MUSIC-COPY,P1
T-MUSICFLOW-01,P2 Card experience,Real song production,C-MUSICFLOW,Define the music promise for standard card,Tim Miller,Backlog,S: 1–2h proposed,T-004,P1
T-MUSICFLOW-02,P2 Card experience,Real song production,C-MUSICFLOW,Approve original lyrics and pronunciation,Tim Miller,Backlog,S: 1–2h proposed,T-MUSICFLOW-01,P1
T-MUSICFLOW-03,P2 Card experience,Real song production,C-MUSICFLOW,Benchmark Suno on approved synthetic briefs,Tim Miller,Backlog,S: 1–2h proposed,T-MUSICFLOW-02,P1
T-MUSICFLOW-04,P2 Card experience,Real song production,C-MUSICFLOW,Verify current commercial download and customer redistribution rights,Tim Miller,To verify,S: 1–2h proposed,T-MUSICFLOW-03,P1
T-MUSICFLOW-05,P2 Card experience,Real song production,C-MUSICFLOW,Decide manual pilot versus authorized automation,Tim Miller,Backlog,S: 1–2h proposed,T-MUSICFLOW-04,P1
T-MUSICFLOW-06,P2 Card experience,Real song production,C-MUSICFLOW,Generate and select candidate songs,Tim Miller,Backlog,M: 2–4h proposed,T-MUSICFLOW-05,P1
T-MUSICFLOW-07,P2 Card experience,Real song production,C-MUSICFLOW,Prepare normalized full track and short excerpts,Tim Miller,Backlog,S: 1–2h proposed,T-MUSICFLOW-06,P1
T-MUSICFLOW-08,P2 Card experience,Real song production,C-MUSICFLOW,Create lyrics/caption transcript aligned to actual audio,Tim Miller,Backlog,S: 1–2h proposed,T-MUSICFLOW-07,P1
T-MUSICFLOW-09,P2 Card experience,Real song production,C-MUSICFLOW,Implement audio exclusivity and cancellation,Tim Miller,Backlog,M: 2–4h proposed,T-MUSICFLOW-08,P1
T-MUSICFLOW-10,P2 Card experience,Real song production,C-MUSICFLOW,Define fallback if song fails or is disputed,Tim Miller,Backlog,S: 1–2h proposed,T-MUSICFLOW-09,P1
T-MUSICFLOW-11,P2 Card experience,Real song production,C-MUSICFLOW,Check Brian recording permissions separately,Tim Miller,Backlog,S: 1–2h proposed,T-MUSICFLOW-10,P1
T-MUSICFLOW-12,P2 Card experience,Real song production,C-MUSICFLOW,Measure total cost per accepted song,Tim Miller,Backlog,S: 1–2h proposed,T-MUSICFLOW-11,P1
T-PET-01,P2 Card experience,Companion scene,C-PET-01,Implement pet illustration in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-PET-02,P2 Card experience,Companion scene,C-PET-02,Implement reaction bank in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-PET-03,P2 Card experience,Companion scene,C-PET-03,Implement bark and bubble in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-PET-04,P2 Card experience,Companion scene,C-PET-04,Implement pet animation in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-PET-05,P2 Card experience,Companion scene,C-PET-05,Implement performance review in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-PET-COPY,P2 Card experience,Companion scene,C-PET,Approve the child-friendly content contract and sparse-facts fallback,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-PET-EVENT,P2 Card experience,Companion scene,C-PET,"Wire scene entry, action and semantic completion events",Brian Lapp,Backlog,S: 1–2h proposed,T-PET-TEST,P1
T-PET-SKINS,P2 Card experience,Companion scene,C-PET,Verify this module across the ten actual skin manifests,Tim Miller,Backlog,S: 1–2h proposed,T-PET-TEST,P1
T-PET-TEST,P2 Card experience,Companion scene,C-PET,"Exercise entry, interaction, exit and replay boundaries",Tim Miller,Backlog,M: 2–4h proposed,T-PET-01; T-PET-02; T-PET-03; T-PET-04; T-PET-05; T-PET-COPY,P1
T-REPS-01,P2 Card experience,Tap challenge,C-REPS-01,Implement character and dumbbell in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
T-REPS-02,P2 Card experience,Tap challenge,C-REPS-02,Implement counter in the shared scene module,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P1
